trial,score,kp1,kp2,kd1,kd2,diverged,diverge_time_s,steps_completed,ee_err_mean,ee_err_max,ee_err_rms,ee_err_final,q_err_mean,q_err_max,q_err_std,theta_err_mean,theta_err_max,delta_mean,delta_max,delta_std,tau_mean,tau_max,tau1_mean,tau2_mean,tau_sat_fraction,wall_disp_mean,wall_disp_max,wall_disp_std,contact_fraction,contact_steps,elapsed_s
44,72.597344,34.35,2.992,1.74,1.08,0,nan,1001,1.2684662040926102,2.025002805226347,1.3366417257975582,1.1324778924136432,1.7102436411846946,2.2154547566362273,0.34295413143658415,15.269498083860883,18.101518901953483,15.379569945484867,16.47680471139516,1.3672024138435306,280.5666354060169,282.842712474619,-0.28525341300259505,0.11000717345781129,0.9920079920079921,0.007440128876501415,0.02009342675091036,0.0057802312700025015,0.03696303696303696,37,0.78
45,87.03577,34.35,2.992,1.74,1.26,0,nan,1001,2.5883172300250674,3.477717173519245,2.6860774371408294,3.2623097092235747,3.4158839258841494,4.728341492441271,0.96394250906793,15.597896361104691,19.83206610431571,15.386440545212164,16.476834373862975,1.3092717389437043,280.71003667632556,282.842712474619,-0.29394469233044956,0.10471125277935753,0.993006993006993,0.01888647051039325,0.029650699738459765,0.008698007026428407,0.008991008991008992,9,0.77
46,73.173852,34.35,2.992,2.03,0.54,0,nan,1001,1.2870160802175223,2.0372426157816705,1.3601227852024198,1.0730581811820639,1.7121273859536152,2.2169548675643247,0.33601034914194106,15.204950953124765,18.097195462725058,15.312711877544704,16.47487648221672,1.6717711443312,280.05937758518957,282.842712474619,-0.14373378395145767,0.09494402010474418,0.99000999000999,0.028396707608222414,0.051817296446327134,0.015580278283029797,0.03196803196803197,32,0.78
47,72.692913,34.35,2.992,2.03,0.72,0,nan,1001,1.2878092153067302,2.104383030688652,1.3631691770741359,1.080451691137502,1.7124657029744332,2.2215361876480086,0.334339185334141,15.240209950321942,18.11861463931638,15.349497254186224,16.474802762697866,1.5371614399963693,280.3377560986106,282.842712474619,-0.14126023143934627,0.14210578746712021,0.99000999000999,0.003717959994071569,0.0110021846394869,0.0033959853851757964,0.03596403596403597,36,0.78
48,72.895949,34.35,2.992,2.03,0.9,0,nan,1001,1.3005353660451493,2.045212072710789,1.3652080820000172,1.118296613349655,1.708502183018073,2.2150878121862507,0.3378923136267242,15.260280699758694,18.09810664249536,15.369694559509394,16.47559036713224,1.4372224260395925,280.58041547489853,282.842712474619,-0.14162235241979892,0.1609414738512184,0.991008991008991,0.011209313548885054,0.025611017090675373,0.007277519314844494,0.03296703296703297,33,0.78
49,73.198553,34.35,2.992,2.03,1.08,0,nan,1001,1.341231468419377,2.0447562390348955,1.405102260406732,1.01880250254353,1.7075622704029187,2.214091358846071,0.3366490398335762,15.270716115686628,18.102236285272987,15.37950857596702,16.47672188653231,1.3668512222189577,280.67162603201507,282.842712474619,-0.10620840750997124,0.110380232730201,0.9920079920079921,0.007870044958848669,0.022690424833700915,0.006116358832502136,0.029970029970029972,30,0.78
50,72.987046,34.35,2.992,2.03,1.26,0,nan,1001,1.3124562746158175,2.0023789847724354,1.3763012924472109,1.0702227707329133,1.7080116386480193,2.2170517024557506,0.3344668663446614,15.280716516911887,18.083864807654848,15.390015128630214,16.477005213728624,1.3091365799776176,280.8043029321023,282.842712474619,-0.0967143840698191,0.1048280793552326,0.993006993006993,0.010235572212961197,0.023703504122831412,0.006980703566328982,0.029970029970029972,30,0.78
51,83.450087,34.35,3.74,0.87,0.54,0,nan,1001,2.3540101402550135,3.499976020014612,2.5229348152198967,3.277163913484072,3.124434957161024,4.7236866534318525,1.0768927092455836,15.48687764841617,18.210768374474466,15.267942235795642,15.931789389241159,1.7312761158229204,276.05879201481963,282.842712474619,3.7891889160013594,0.09808874130375726,0.987012987012987,0.018473854377001508,0.025607110343726962,0.009069432302973681,0.004995004995004995,5,0.77
52,83.782567,34.35,3.74,0.87,0.72,0,nan,1001,2.3854165826910565,3.4826671407804732,2.551697579492172,3.040645567153343,3.199670536544921,4.725084619957098,1.0552914433248197,15.539776135563987,18.19771613582689,15.308398459677688,15.934709544550822,1.5357191872699636,276.4165374070492,282.842712474619,4.039315423087269,0.13434754934769536,0.99000999000999,0.012660669176086789,0.01995357616832615,0.007011027753196987,0.005994005994005994,6,0.78
53,84.192637,34.35,3.74,0.87,0.9,0,nan,1001,2.4627504022391977,3.494703750167611,2.6089275446146964,3.2918553442230487,3.2371732530927204,4.658078587132333,1.0357969171453756,15.568334934082506,18.181917917713555,15.330373373029065,15.929566712865554,1.4302330151676332,276.72668943841774,282.842712474619,4.080303018415447,0.16754868523661687,0.9920079920079921,0.007921039290645308,0.011507497928553956,0.003837055324105014,0.00999000999000999,10,0.77
54,84.905504,34.35,3.74,0.87,1.08,0,nan,1001,2.5421854321048905,3.495496497216231,2.6809332825634984,2.4122600995119656,3.284790205154101,4.732024419504743,0.9780681885569302,15.588226680929433,18.19632959336876,15.34380998655683,15.929484887459129,1.3534028892234842,277.0926117231822,282.842712474619,4.036311538724186,0.09233488956034215,0.9920079920079921,0.009748423132940718,0.015659579841184292,0.003646763605259241,0.011988011988011988,12,0.78
55,82.364704,34.35,3.74,0.87,1.26,0,nan,1001,2.2588989476873933,3.495300911685851,2.4321899147975996,2.902976759627751,2.8195219516247647,4.630873589277198,1.0701061845760134,15.520025607194519,18.19104435494839,15.36118535111855,15.97842783202702,1.2972044974634642,277.9607658145556,282.842712474619,2.73487121412726,0.12294454881201865,0.993006993006993,0.019999056548587465,0.03398186665419723,0.010968914711617518,0.00999000999000999,10,0.77
56,85.830969,34.35,3.74,1.16,0.54,0,nan,1001,2.4735947398209985,3.472951798510237,2.5918962995864567,3.2086213218389386,3.405252306561698,4.7308611665008495,1.0127864780559224,15.586943195568006,18.720743715447288,15.298591965231429,16.404808638726866,1.7295396105022953,279.05106715608395,282.842712474619,-0.04696928984475499,0.09778510651240076,0.987012987012987,0.008620940565098578,0.014646924772485003,0.005313225432165605,0.00999000999000999,10,0.77
57,84.689136,34.35,3.74,1.16,0.72,0,nan,1001,2.319448299777489,3.4595436973942344,2.4750332228092424,3.2234513822758193,3.303624537865277,4.72886466233576,1.0894029130016323,15.611049893701322,18.65430001267461,15.34115118702029,16.37958927003,1.5352678332111354,279.7083147256001,282.842712474619,-0.07232100015887856,0.13473578642400913,0.99000999000999,0.01349866560025834,0.018064915997596777,0.006281973855806762,0.005994005994005994,6,0.79
58,86.675655,34.35,3.74,1.16,0.9,0,nan,1001,2.5474560127174852,3.482115281720088,2.6582245294102083,2.9290327931977265,3.485354913172094,4.721256445384376,0.9344399631776308,15.664206089728436,18.7223634781852,15.363154781706257,16.379417464828478,1.4293456917669318,280.00568492476106,282.842712474619,-0.032904689072441665,0.16749196783545797,0.9920079920079921,0.021770695920190916,0.031734716775455765,0.008662311220911352,0.00999000999000999,10,0.77
59,72.142866,34.35,3.74,1.16,1.08,0,nan,1001,1.2499850198963622,1.9917104112202644,1.3206941170437774,1.1146798167866736,1.7110127855569583,2.2137578905238935,0.33866654730519336,15.269420983556026,18.086054312660263,15.379032589463165,16.362105070772056,1.3529639539386247,280.250320892419,282.842712474619,0.1497236709832465,0.09233990329523765,0.9920079920079921,0.007797412181246698,0.022064714145633647,0.0057642892361333565,0.03896103896103896,39,0.79
60,72.672346,34.35,3.74,1.16,1.26,0,nan,1001,1.3135697921206106,2.047966027266972,1.3796185268315395,1.104263470633293,1.7056367310140812,2.2151796166500928,0.3430329387380177,15.278939229300585,18.10020509709234,15.387869566825469,16.368157096923717,1.296679839944255,280.39604312200487,282.842712474619,0.1318980834784307,0.12273459278772138,0.993006993006993,0.008736771114383726,0.022541874778812903,0.006614795866351804,0.028971028971028972,29,0.8
61,71.50772,34.35,3.74,1.45,0.54,0,nan,1001,1.2425163374556334,1.905033452110145,1.3133285337465488,1.2516786787107752,1.7152572502685808,2.214852602569313,0.33349364137320137,15.193575119033897,18.05690717475497,15.30270473682569,16.141583010594744,1.726716522929743,279.1720284271823,282.842712474619,-0.10404785581614123,0.09676173989797811,0.987012987012987,0.016079732585623167,0.029884584184415315,0.008617913342611569,0.03696303696303696,37,0.78
